日期,时间,AQI
20170101,0,438
20170101,1,425
20170101,2,417
20170101,3,415
20170101,4,415
20170101,5,420
20170101,6,421
20170101,7,427
20170101,8,427
20170101,9,431
20170101,10,444
20170101,11,461
20170101,12,482
20170101,15,476
20170101,16,476
20170101,18,479
20170101,19,476
20170101,21,464
20170101,22,460
20170102,3,353
20170102,5,198
20170102,6,112
20170102,7,77
20170102,8,65
20170102,9,72
20170102,10,86
20170102,11,123
20170102,12,198
20170102,13,216
20170102,14,214
20170102,15,247
20170102,16,263
20170102,17,264
20170102,18,243
20170102,19,240
20170102,20,232
20170102,21,242
20170102,22,263
20170102,23,278
20170103,0,294
20170103,1,313
20170103,2,318
20170103,3,312
20170103,4,301
20170103,5,301
20170103,6,301
20170103,7,291
20170103,8,271
20170103,9,272
20170103,10,277
20170103,11,270
20170103,12,277
20170103,13,270
20170103,14,268
20170103,15,292
20170103,16,339
20170103,17,336
20170103,18,368
20170103,19,401
20170103,20,425
20170103,21,446
20170103,22,445
20170103,23,423
20170104,0,434
20170104,1,443
20170104,2,429
20170104,3,413
20170104,4,404
20170104,5,391
20170104,6,375
20170104,7,341
20170104,8,296
20170104,9,272
20170104,10,285
20170104,11,296
20170104,12,297
20170104,13,241
20170104,14,277
20170104,15,333
20170104,16,333
20170104,17,368
20170104,18,374
20170104,19,388
20170104,20,404
20170104,21,409
20170104,22,411
20170104,23,388
20170105,0,327
20170105,1,283
20170105,2,269
20170105,3,272
20170105,4,285
20170105,5,329
20170105,6,363
20170105,7,339
20170105,8,313
20170105,9,315
20170105,10,316
20170105,11,318
20170105,12,312
20170105,13,260
20170105,14,246
20170105,15,229
20170105,16,201
20170105,17,203
20170105,18,207
20170105,19,225
20170105,20,249
20170105,21,232
20170105,22,243
20170105,23,237
20170106,0,227
20170106,1,231
20170106,2,220
20170106,3,217
20170106,4,214
20170106,5,208
20170106,6,213
20170106,7,218
20170106,8,217
20170106,9,226
20170106,10,259
20170106,11,256
20170106,12,257
20170106,13,210
20170106,14,222
20170106,15,237
20170106,16,232
20170106,17,237
20170106,18,245
20170106,19,259
20170106,20,254
20170106,21,251
20170106,22,255
20170106,23,250
20170107,0,243
20170107,1,245
20170107,2,249
20170107,3,249
20170107,4,249
20170107,5,250
20170107,6,240
20170107,7,235
20170107,8,235
20170107,9,230
20170107,10,224
20170107,11,220
20170107,12,219
20170107,13,208
20170107,14,183
20170107,15,152
20170107,16,140
20170107,17,142
20170107,18,136
20170107,19,146
20170107,20,155
20170107,21,161
20170107,22,162
20170107,23,180
20170108,0,173
20170108,1,136
20170108,2,98
20170108,3,60
20170108,4,44
20170108,5,32
20170108,6,30
20170108,7,29
20170108,8,30
20170108,9,34
20170108,10,34
20170108,11,35
20170108,12,38
20170108,13,44
20170108,14,43
20170108,15,56
20170108,16,73
20170108,17,50
20170108,18,44
20170108,19,42
20170108,20,30
20170108,21,22
20170108,22,21
20170108,23,21
20170109,0,22
20170109,1,19
20170109,2,21
20170109,3,20
20170109,4,17
20170109,5,17
20170109,6,17
20170109,7,18
20170109,8,22
20170109,9,22
20170109,10,20
20170109,11,19
20170109,12,20
20170109,13,22
20170109,14,28
20170109,16,43
20170109,17,57
20170109,18,69
20170109,19,87
20170109,20,110
20170109,21,136
20170109,22,157
20170109,23,141
20170110,0,96
20170110,1,53
20170110,2,30
20170110,3,25
20170110,4,20
20170110,5,18
20170110,6,18
20170110,7,20
20170110,8,22
20170110,9,27
20170110,10,23
20170110,11,26
20170110,12,25
20170110,13,25
20170110,14,25
20170110,15,27
20170110,16,28
20170110,17,35
20170110,18,50
