日期,时间,AQI
20170101,0,108
20170101,1,125
20170101,2,122
20170101,3,132
20170101,4,119
20170101,5,106
20170101,6,106
20170101,7,102
20170101,8,99
20170101,9,96
20170101,10,89
20170101,11,77
20170101,12,80
20170101,15,74
20170101,16,73
20170101,18,86
20170101,19,108
20170101,21,133
20170101,22,137
20170102,3,142
20170102,5,143
20170102,6,136
20170102,7,132
20170102,8,135
20170102,9,146
20170102,10,150
20170102,11,133
20170102,12,109
20170102,13,83
20170102,14,69
20170102,15,66
20170102,16,67
20170102,17,66
20170102,18,74
20170102,19,103
20170102,20,122
20170102,21,127
20170102,22,134
20170102,23,141
20170103,0,144
20170103,1,140
20170103,2,145
20170103,3,148
20170103,4,157
20170103,5,161
20170103,6,159
20170103,7,150
20170103,8,138
20170103,9,125
20170103,10,108
20170103,11,86
20170103,12,74
20170103,13,70
20170103,14,70
20170103,15,79
20170103,16,88
20170103,17,91
20170103,18,98
20170103,19,118
20170103,20,148
20170103,21,162
20170103,22,164
20170103,23,152
20170104,0,134
20170104,1,117
20170104,2,104
20170104,3,98
20170104,4,89
20170104,5,86
20170104,6,83
20170104,7,82
20170104,8,88
20170104,9,96
20170104,10,94
20170104,11,101
20170104,12,114
20170104,13,115
20170104,14,113
20170104,15,104
20170104,16,101
20170104,17,100
20170104,18,104
20170104,19,123
20170104,20,140
20170104,21,160
20170104,22,170
20170104,23,179
20170105,0,189
20170105,1,197
20170105,2,197
20170105,3,190
20170105,4,186
20170105,5,185
20170105,6,176
20170105,7,168
20170105,8,163
20170105,9,154
20170105,10,165
20170105,11,183
20170105,12,202
20170105,13,215
20170105,14,196
20170105,15,199
20170105,16,219
20170105,17,208
20170105,18,193
20170105,19,201
20170105,20,208
20170105,21,206
20170105,22,205
20170105,23,202
20170106,0,197
20170106,1,197
20170106,2,191
20170106,3,187
20170106,4,184
20170106,5,185
20170106,6,178
20170106,7,172
20170106,8,159
20170106,9,153
20170106,10,131
20170106,11,115
20170106,12,93
20170106,13,76
20170106,14,68
20170106,15,64
20170106,16,63
20170106,17,60
20170106,18,63
20170106,19,78
20170106,20,85
20170106,21,98
20170106,22,104
20170106,23,109
20170107,0,102
20170107,1,96
20170107,2,87
20170107,3,75
20170107,4,72
20170107,5,76
20170107,6,80
20170107,7,82
20170107,8,85
20170107,9,96
20170107,10,98
20170107,11,95
20170107,12,81
20170107,13,76
20170107,14,76
20170107,15,75
20170107,16,77
20170107,17,78
20170107,18,77
20170107,19,85
20170107,20,92
20170107,21,105
20170107,22,118
20170107,23,120
20170108,0,120
20170108,1,125
20170108,2,134
20170108,3,131
20170108,4,121
20170108,5,114
20170108,6,106
20170108,7,102
20170108,8,100
20170108,9,97
20170108,10,91
20170108,11,83
20170108,12,81
20170108,13,79
20170108,14,74
20170108,15,68
20170108,16,63
20170108,17,62
20170108,18,59
20170108,19,60
20170108,20,61
20170108,21,60
20170108,22,58
20170108,23,57
20170109,0,55
20170109,1,52
20170109,2,50
20170109,3,48
20170109,4,46
20170109,5,45
20170109,6,44
20170109,7,44
20170109,8,46
20170109,9,44
20170109,10,43
20170109,11,43
20170109,12,45
20170109,13,47
20170109,14,46
20170109,16,52
20170109,17,53
20170109,18,60
20170109,19,67
20170109,20,74
20170109,21,80
20170109,22,80
20170109,23,82
20170110,0,84
20170110,1,81
20170110,2,81
20170110,3,84
