日期,时间,AQI
20170101,0,68
20170101,1,62
20170101,2,57
20170101,3,56
20170101,4,57
20170101,5,58
20170101,6,58
20170101,7,57
20170101,8,55
20170101,9,60
20170101,10,57
20170101,11,51
20170101,12,47
20170101,15,43
20170101,16,42
20170101,18,47
20170101,19,52
20170101,21,52
20170101,22,55
20170102,3,57
20170102,5,57
20170102,6,61
20170102,7,63
20170102,8,66
20170102,9,75
20170102,10,94
20170102,11,108
20170102,12,113
20170102,13,121
20170102,14,133
20170102,15,143
20170102,16,141
20170102,17,137
20170102,18,136
20170102,19,130
20170102,20,106
20170102,21,90
20170102,22,89
20170102,23,88
20170103,0,90
20170103,1,94
20170103,2,93
20170103,3,106
20170103,4,139
20170103,5,162
20170103,6,170
20170103,7,166
20170103,8,165
20170103,9,172
20170103,10,177
20170103,11,171
20170103,12,164
20170103,13,152
20170103,14,128
20170103,15,116
20170103,16,103
20170103,17,107
20170103,18,107
20170103,19,110
20170103,20,112
20170103,21,113
20170103,22,102
20170103,23,100
20170104,0,89
20170104,1,80
20170104,2,73
20170104,3,69
20170104,4,65
20170104,5,63
20170104,6,64
20170104,7,64
20170104,8,69
20170104,9,76
20170104,10,78
20170104,11,75
20170104,12,70
20170104,13,64
20170104,14,63
20170104,15,72
20170104,16,83
20170104,17,83
20170104,18,82
20170104,19,83
20170104,20,84
20170104,21,82
20170104,22,79
20170104,23,78
20170105,0,71
20170105,1,64
20170105,2,63
20170105,3,56
20170105,4,46
20170105,5,39
20170105,6,37
20170105,7,35
20170105,8,33
20170105,9,31
20170105,10,33
20170105,11,33
20170105,12,35
20170105,13,37
20170105,14,45
20170105,15,49
20170105,16,54
20170105,17,45
20170105,18,35
20170105,19,28
20170105,20,27
20170105,21,26
20170105,22,27
20170105,23,26
20170106,0,26
20170106,1,27
20170106,2,29
20170106,3,37
20170106,4,43
20170106,5,47
20170106,6,43
20170106,7,39
20170106,8,37
20170106,9,36
20170106,10,37
20170106,11,37
20170106,12,36
20170106,13,35
20170106,14,35
20170106,15,37
20170106,16,39
20170106,17,41
20170106,18,42
20170106,19,37
20170106,20,34
20170106,21,32
20170106,22,28
20170106,23,26
20170107,0,23
20170107,1,21
20170107,2,21
20170107,3,22
20170107,4,22
20170107,5,21
20170107,6,20
20170107,7,20
20170107,8,20
20170107,9,22
20170107,10,22
20170107,11,23
20170107,12,27
20170107,13,30
20170107,14,32
20170107,15,35
20170107,16,38
20170107,17,42
20170107,18,39
20170107,19,34
20170107,20,36
20170107,21,37
20170107,22,44
20170107,23,54
20170108,0,62
20170108,1,62
20170108,2,67
20170108,3,77
20170108,4,88
20170108,5,96
20170108,6,103
20170108,7,112
20170108,8,120
20170108,9,130
20170108,10,133
20170108,11,141
20170108,12,144
20170108,13,144
20170108,14,143
20170108,15,147
20170108,16,145
20170108,17,136
20170108,18,122
20170108,19,102
20170108,20,76
20170108,21,60
20170108,22,51
20170108,23,50
20170109,0,49
20170109,1,49
20170109,2,64
20170109,3,72
20170109,4,63
20170109,5,70
20170109,6,85
20170109,7,88
20170109,8,89
20170109,9,86
20170109,10,82
20170109,11,83
20170109,12,80
20170109,13,82
20170109,14,85
20170109,16,100
20170109,17,105
20170109,18,107
20170109,19,114
20170109,20,112
20170109,21,97
20170109,22,95
20170109,23,99
20170110,0,106
20170110,1,111
20170110,2,114
20170110,3,114
20170110,4,111
20170110,5,113
20170110,6,110
20170110,7,94
20170110,8,93
20170110,9,106
20170110,10,120
20170110,11,126
20170110,12,125
20170110,13,125
20170110,14,121
20170110,15,113
20170110,16,107
20170110,17,105
20170110,18,96
20170110,19,94
20170110,20,101
20170110,21,102
20170110,22,97
20170110,23,88
20170111,0,80
20170111,1,63
20170111,2,51
20170111,3,49
20170111,4,43
20170111,5,38
20170111,6,33
20170111,7,35
20170111,8,40
20170111,9,46
20170111,10,51
20170111,11,51
20170111,12,45
20170111,13,42
20170111,14,38
20170111,15,37
20170111,16,41
20170111,17,44
20170111,18,50
20170111,19,52
20170111,20,55
20170111,21,54
20170111,22,51
20170111,23,48
20170112,0,45
20170112,1,47
20170112,2,46
20170112,3,51
20170112,4,55
20170112,5,56
20170112,6,56
20170112,7,56
20170112,8,59
20170112,9,61
20170112,10,67
20170112,11,70
20170112,12,71
20170112,13,82
20170112,14,83
20170112,15,93
20170112,16,104
20170112,17,102
20170112,18,98
20170112,19,94
20170112,20,92
20170112,21,90
20170112,22,92
20170112,23,95
20170113,0,99
20170113,1,104
20170113,2,105
20170113,3,109
20170113,4,114
20170113,5,123
20170113,6,124
20170113,7,125
20170113,8,121
20170113,9,131
20170113,10,144
20170113,11,165
20170113,12,181
20170113,13,176
20170113,14,153
20170113,15,127
20170113,16,117
20170113,17,103
20170113,18,113
20170113,19,118
20170113,20,121
20170113,22,159
20170113,23,144
20170114,0,116
20170114,1,91
20170114,2,76
20170114,3,66
20170114,4,56
20170114,5,35
20170114,6,33
20170114,7,37
20170114,8,40
20170114,9,42
20170114,10,33
20170114,11,28
20170114,12,26
20170114,13,28
20170114,14,28
20170114,15,31
20170114,16,29
20170114,17,29
20170114,18,27
20170114,19,27
20170114,20,29
20170114,21,31
20170114,22,33
20170114,23,35
20170115,0,35
20170115,1,31
20170115,2,28
20170115,3,26
20170115,4,24
20170115,5,22
20170115,6,23
20170115,7,22
20170115,8,25
20170115,9,26
20170115,10,24
20170115,11,23
20170115,12,24
20170115,13,24
20170115,14,24
20170115,15,23
20170115,16,26
20170115,17,26
20170115,18,27
20170115,19,29
20170115,20,28
20170115,21,28
20170115,22,31
20170115,23,31
20170116,0,29
20170116,1,26
20170116,2,26
20170116,3,25
20170116,4,25
20170116,5,24
20170116,6,25
20170116,7,28
20170116,8,33
20170116,9,33
20170116,10,28
20170116,11,31
20170116,12,33
20170116,13,35
20170116,14,39
20170116,15,34
20170116,16,32
20170116,17,28
20170116,18,29
20170116,19,32
20170116,20,33
20170116,21,32
20170116,22,34
20170116,23,37
20170117,0,37
20170117,1,37
20170117,2,36
20170117,3,36
20170117,4,36
20170117,5,44
20170117,6,54
20170117,7,63
20170117,8,71
20170117,9,80
20170117,10,81
20170117,11,73
20170117,12,62
20170117,13,61
20170117,14,61
20170117,15,57
20170117,16,59
20170117,17,67
20170117,18,65
20170117,19,68
20170117,20,70
20170117,21,67
20170117,22,59
20170117,23,54
20170118,0,50
20170118,1,50
20170118,2,50
20170118,3,51
20170118,4,53
20170118,5,48
20170118,6,45
20170118,7,40
20170118,8,41
20170118,9,38
20170118,10,38
20170118,11,39
20170118,12,42
20170118,13,41
20170118,14,43
20170118,15,43
20170118,16,48
20170118,17,53
20170118,18,60
20170118,19,66
20170118,20,71
20170118,21,69
20170118,22,67
20170118,23,72
20170119,0,75
20170119,1,80
20170119,2,79
20170119,3,83
20170119,4,84
20170119,5,89
20170119,6,94
20170119,7,99
20170119,8,102
20170119,9,104
20170119,10,104
20170119,11,102
20170119,12,100
20170119,13,100
20170119,14,99
20170119,15,103
20170119,16,110
20170119,17,113
20170119,18,117
20170119,19,124
20170119,20,130
20170119,21,137
20170119,22,147
20170119,23,141
20170120,0,138
20170120,1,157
20170120,2,201
20170120,3,222
20170120,4,222
20170120,5,199
20170120,6,145
20170120,7,136
20170120,8,137
20170120,9,131
20170120,10,114
20170120,11,87
20170120,12,71
20170120,13,58
20170120,14,46
20170120,15,37
20170120,16,34
20170120,17,34
20170120,18,36
20170120,19,32
20170120,20,32
20170120,21,29
20170120,22,28
20170120,23,27
20170121,0,28
20170121,1,27
20170121,2,27
20170121,3,28
20170121,4,29
20170121,5,32
20170121,6,39
20170121,7,39
20170121,8,41
20170121,9,45
20170121,10,44
20170121,11,50
20170121,12,48
20170121,13,48
20170121,14,52
20170121,15,52
20170121,16,57
20170121,17,62
20170121,18,64
20170121,19,71
20170121,20,76
20170121,21,79
