科学部,合计:项数,合计:金额,高等院校:项数,高等院校:金额,科研单位:项数,科研单位:金额,其他:项数,其他:金额
合计,400,52000.00,319,41470.00,80,10400.00,1,130.00
%,100.00%,100.00%,79.75%,79.75%,20.00%,20.00%,0.25%,0.25%
数理科学部,47,6110.00,39,5070.00,8,1040.00,0,0.00
%,100.00%,100.00%,82.98%,82.98%,17.02%,17.02%,0.00%,0.00%
化学科学部,57,7410.00,47,6110.00,10,1300.00,0,0.00
%,100.00%,100.00%,82.46%,82.46%,17.54%,17.54%,0.00%,0.00%
生命科学部,58,7540.00,40,5200.00,18,2340.00,0,0.00
%,100.00%,100.00%,68.97%,68.97%,31.03%,31.03%,0.00%,0.00%
地球科学部,40,5200.00,24,3120.00,16,2080.00,0,0.00
%,100.00%,100.00%,60.00%,60.00%,40.00%,40.00%,0.00%,0.00%
工程与材料科学部,74,9620.00,61,7930.00,13,1690.00,0,0.00
%,100.00%,100.00%,82.43%,82.43%,17.57%,17.57%,0.00%,0.00%
信息科学部,60,7800.00,55,7150.00,5,650.00,0,0.00
%,100.00%,100.00%,91.67%,91.67%,8.33%,8.33%,0.00%,0.00%
管理科学部,14,1820.00,14,1820.00,0,0.00,0,0.00
%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
医学科学部,50,6500.00,39,5070.00,10,1300.00,1,130.00
%,100.00%,100.00%,78.00%,78.00%,20.00%,20.00%,2.00%,2.00%
