序号,"省、自治区(州)",合计:项数,合计:金额,数理科学部:项数,数理科学部:金额,化学科学部:项数,化学科学部:金额,生命科学部:项数,生命科学部:金额,地球科学部:项数,地球科学部:金额,工程与材料科学部:项数,工程与材料科学部:金额,信息科学部:项数,信息科学部:金额,管理科学部:项数,管理科学部:金额,医学科学部:项数,医学科学部:金额
0,合计,400,52000.00,47,6110.00,57,7410.00,58,7540.00,40,5200.00,74,9620.00,60,7800.00,14,1820.00,50,6500.00
1,北京,130,16900.00,17,2210.00,18,2340.00,18,2340.00,16,2080.00,25,3250.00,21,2730.00,6,780.00,9,1170.00
2,上海,49,6370.00,4,520.00,8,1040.00,8,1040.00,1,130.00,5,650.00,8,1040.00,1,130.00,14,1820.00
3,江苏,34,4420.00,6,780.00,5,650.00,6,780.00,3,390.00,4,520.00,5,650.00,2,260.00,3,390.00
4,广东,29,3770.00,3,390.00,6,780.00,5,650.00,1,130.00,4,520.00,2,260.00,2,260.00,6,780.00
5,湖北,22,2860.00,3,390.00,3,390.00,5,650.00,2,260.00,3,390.00,2,260.00,1,130.00,3,390.00
6,安徽,18,2340.00,5,650.00,1,130.00,,,5,650.00,,,5,650.00,1,130.00,1,130.00
7,浙江,18,2340.00,2,260.00,2,260.00,5,650.00,1,130.00,3,390.00,3,390.00,,,2,260.00
8,四川,15,1950.00,2,260.00,1,130.00,1,130.00,2,260.00,4,520.00,2,260.00,1,130.00,2,260.00
9,山东,11,1430.00,1,130.00,1,130.00,,,3,390.00,3,390.00,1,130.00,,,2,260.00
10,福建,10,1300.00,1,130.00,2,260.00,3,390.00,1,130.00,1,130.00,1,130.00,,,1,130.00
11,黑龙江,10,1300.00,,,,,1,130.00,1,130.00,5,650.00,3,390.00,,,,
12,重庆,9,1170.00,,,3,390.00,2,260.00,,,2,260.00,,,,,2,260.00
13,湖南,8,1040.00,2,260.00,,,,,,,5,650.00,,,,,1,130.00
14,吉林,7,910.00,1,130.00,2,260.00,,,,,2,260.00,2,260.00,,,,
15,辽宁,7,910.00,,,2,260.00,1,130.00,,,3,390.00,1,130.00,,,,
16,天津,6,780.00,,,1,130.00,1,130.00,,,3,390.00,,,,,1,130.00
17,陕西,6,780.00,,,,,1,130.00,,,2,260.00,1,130.00,,,2,260.00
18,甘肃,4,520.00,,,1,130.00,,,3,390.00,,,,,,,,
19,河南,2,260.00,,,,,,,,,,,1,130.00,,,1,130.00
20,山西,2,260.00,,,1,130.00,,,,,,,1,130.00,,,,
21,江西,1,130.00,,,,,,,,,,,1,130.00,,,,
22,贵州,1,130.00,,,,,,,1,130.00,,,,,,,,
23,云南,1,130.00,,,,,1,130.00,,,,,,,,,,
24,澳门,,,,,,,,,,,,,,,,,,
25,香港,,,,,,,,,,,,,,,,,,
26,台湾,,,,,,,,,,,,,,,,,,
27,内蒙古,,,,,,,,,,,,,,,,,,
28,广西,,,,,,,,,,,,,,,,,,
29,西藏,,,,,,,,,,,,,,,,,,
30,新疆,,,,,,,,,,,,,,,,,,
31,宁夏,,,,,,,,,,,,,,,,,,
32,海南,,,,,,,,,,,,,,,,,,
33,青海,,,,,,,,,,,,,,,,,,
33,河北,,,,,,,,,,,,,,,,,,
